UTC,Light,°C out,°C in,hPa,RH Air,RH Soil,IAQ
10.12.2021 15:21:00,1,22.8,23.1,947,27,10,0
10.12.2021 15:22:00,1,22.8,23.2,947,27,10,0
10.12.2021 15:24:00,1,23.0,23.3,947,27,10,0
10.12.2021 15:25:00,2,23.0,23.4,947,27,10,0
10.12.2021 15:26:00,2,23.0,23.4,947,27,10,0
10.12.2021 15:28:00,2,23.2,23.5,947,26,10,0
10.12.2021 15:29:00,2,23.2,23.6,947,26,10,0
10.12.2021 15:30:00,2,23.2,23.6,947,26,10,0
10.12.2021 15:31:00,2,23.2,23.6,947,26,10,0
10.12.2021 15:33:00,2,23.2,23.7,947,26,10,0
10.12.2021 15:34:00,1,23.4,23.8,947,26,10,0
10.12.2021 15:35:00,2,23.4,23.8,947,26,10,0
10.12.2021 15:36:00,1,23.4,23.8,947,26,10,0
10.12.2021 15:37:00,2,23.4,23.8,947,25,10,0
10.12.2021 15:38:00,2,23.4,23.9,947,25,10,0
10.12.2021 15:39:00,2,23.4,23.9,947,25,10,0
10.12.2021 15:40:00,2,23.4,23.9,947,25,10,0
10.12.2021 15:41:00,2,23.4,23.9,947,25,10,0
10.12.2021 15:43:00,2,23.4,23.9,947,25,10,0
10.12.2021 15:44:00,2,23.6,24.0,947,25,10,0
10.12.2021 15:45:00,2,23.6,24.0,947,25,10,0
10.12.2021 15:47:00,1,23.6,24.0,947,25,10,0
10.12.2021 15:48:00,1,23.6,24.0,947,25,10,0
10.12.2021 15:49:00,1,23.6,24.0,947,25,10,0
10.12.2021 15:50:00,1,23.6,24.1,948,25,10,0
10.12.2021 15:51:00,2,23.6,24.1,948,25,10,0
10.12.2021 15:53:00,2,23.6,24.1,948,25,10,0
10.12.2021 15:54:00,1,23.6,24.1,948,24,10,0
10.12.2021 15:55:00,2,23.6,24.1,948,24,10,0
10.12.2021 15:57:00,2,23.6,24.1,948,24,10,0
10.12.2021 15:58:00,2,23.6,24.1,948,24,10,0
10.12.2021 16:00:00,1,23.6,24.1,948,24,10,0
10.12.2021 16:01:00,1,23.6,24.1,948,24,10,0
10.12.2021 16:02:00,1,23.6,24.1,948,24,10,0
10.12.2021 16:03:00,1,23.6,24.1,948,24,10,0
10.12.2021 16:04:00,1,23.6,24.1,948,24,10,0
10.12.2021 16:06:00,1,23.4,24.1,948,24,10,0
10.12.2021 16:07:00,1,23.4,24.1,948,24,10,0
10.12.2021 16:08:00,1,23.6,24.1,948,24,10,0
10.12.2021 16:09:00,1,23.4,24.1,948,24,10,0
10.12.2021 16:11:00,1,23.6,24.1,948,24,10,0
10.12.2021 16:12:00,1,23.4,24.1,948,24,10,0
10.12.2021 16:13:00,1,23.4,24.1,948,24,10,0
10.12.2021 16:14:00,1,23.4,24.1,948,24,10,0
10.12.2021 16:16:00,1,23.4,24.1,948,24,10,0
10.12.2021 16:17:00,1,23.4,24.1,948,24,10,0
10.12.2021 16:18:00,1,23.4,24.1,948,24,10,0
10.12.2021 16:19:00,1,23.4,24.1,948,24,10,0
10.12.2021 16:20:00,1,23.4,24.1,948,23,10,0
10.12.2021 16:21:00,1,23.4,24.1,948,23,10,0
10.12.2021 16:23:00,1,23.4,24.1,948,23,10,0
10.12.2021 16:24:00,1,23.4,24.0,948,23,10,0
10.12.2021 16:25:00,1,23.4,24.0,948,23,10,0
10.12.2021 16:27:00,1,23.4,24.0,948,23,10,0
10.12.2021 16:28:00,1,23.4,24.0,948,23,10,0
10.12.2021 16:29:00,1,23.4,24.0,948,23,10,0
10.12.2021 16:30:00,2,23.4,24.0,948,23,10,0
10.12.2021 16:31:00,1,23.4,24.0,948,23,10,0
10.12.2021 16:32:00,1,23.4,24.0,948,23,10,0
10.12.2021 16:34:00,2,23.4,24.0,948,23,10,0
