UTC,Light,°C out,°C in,hPa,RH Air,RH Soil,IAQ
01.01.1970 00:02:30,158,"21,8","22,4",980,38,0,0
01.01.1970 00:02:40,158,"21,8","22,4",980,38,0,0
01.01.1970 00:02:50,158,"21,8","22,4",980,38,0,0
01.01.1970 00:03:00,158,"21,8","22,4",980,38,0,0
01.01.1970 00:03:10,158,"21,8","22,4",980,38,0,0
01.01.1970 00:03:20,158,"21,8","22,4",980,38,0,0
01.01.1970 00:03:30,158,"21,8","22,4",980,38,0,0
01.01.1970 00:03:40,158,"21,8","22,4",980,38,0,0
01.01.1970 00:03:50,158,"21,8","22,4",980,38,0,0
01.01.1970 00:04:00,158,"21,8","22,4",980,39,0,0
01.01.1970 00:04:10,158,"21,8","22,4",980,39,0,0
01.01.1970 00:04:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:04:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:04:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:04:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:05:00,158,"21,8","22,4",980,39,0,0
01.01.1970 00:05:10,158,"21,8","22,4",980,39,0,0
01.01.1970 00:05:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:05:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:05:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:05:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:06:00,158,"21,8","22,4",980,39,0,0
01.01.1970 00:06:10,158,"21,8","22,4",980,39,0,0
01.01.1970 00:06:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:06:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:06:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:06:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:07:00,158,"21,8","22,4",980,39,0,0
01.01.1970 00:07:10,158,"21,8","22,4",980,39,0,0
01.01.1970 00:07:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:07:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:07:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:07:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:08:00,158,"21,8","22,3",980,39,0,0
01.01.1970 00:08:10,158,"21,8","22,4",980,39,0,0
01.01.1970 00:08:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:08:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:08:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:08:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:09:00,158,"21,8","22,4",980,39,0,0
01.01.1970 00:09:10,158,"21,8","22,4",980,39,0,0
01.01.1970 00:09:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:09:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:09:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:09:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:10:00,158,"21,8","22,4",980,39,0,0
01.01.1970 00:10:10,158,"21,8","22,4",980,39,0,0
01.01.1970 00:10:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:10:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:10:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:10:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:11:00,158,"21,8","22,4",980,39,0,0
01.01.1970 00:11:10,158,"21,8","22,4",980,39,0,0
01.01.1970 00:11:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:11:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:11:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:11:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:12:00,158,"21,8","22,4",980,39,0,0
01.01.1970 00:12:10,158,"21,8","22,4",980,39,0,0
01.01.1970 00:12:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:12:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:12:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:12:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:13:00,158,"21,8","22,4",980,39,0,0
01.01.1970 00:13:10,158,"21,8","22,4",980,39,0,0
01.01.1970 00:13:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:13:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:13:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:13:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:14:00,158,"21,8","22,4",980,39,0,0
01.01.1970 00:14:10,158,"21,8","22,4",980,39,0,0
01.01.1970 00:14:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:14:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:14:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:14:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:15:00,158,"21,8","22,3",980,39,0,0
01.01.1970 00:15:10,158,"21,8","22,3",980,39,0,0
01.01.1970 00:15:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:15:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:15:40,158,"21,8","22,3",980,39,0,0
01.01.1970 00:15:50,158,"21,8","22,3",980,39,0,0
01.01.1970 00:16:00,158,"21,8","22,3",980,39,0,0
01.01.1970 00:16:10,158,"21,8","22,3",980,39,0,0
01.01.1970 00:16:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:16:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:16:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:16:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:17:00,158,"21,8","22,4",980,39,0,0
01.01.1970 00:17:10,158,"21,8","22,4",980,39,0,0
01.01.1970 00:17:20,158,"21,8","22,4",980,39,0,0
01.01.1970 00:17:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:17:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:17:50,158,"21,8","22,3",980,39,0,0
01.01.1970 00:18:00,158,"21,8","22,3",980,39,0,0
01.01.1970 00:18:10,158,"21,8","22,3",980,39,0,0
01.01.1970 00:18:20,158,"21,8","22,3",980,39,0,0
01.01.1970 00:18:30,158,"21,8","22,3",980,39,0,0
01.01.1970 00:18:40,158,"21,8","22,4",980,39,0,0
01.01.1970 00:18:50,158,"21,8","22,4",980,39,0,0
01.01.1970 00:19:00,158,"21,8","22,3",980,39,0,0
01.01.1970 00:19:10,158,"21,8","22,3",980,39,0,0
01.01.1970 00:19:20,158,"21,8","22,3",980,39,0,0
01.01.1970 00:19:30,158,"21,8","22,3",980,39,0,0
01.01.1970 00:19:40,158,"21,8","22,3",980,39,0,0
01.01.1970 00:19:50,158,"21,8","22,3",980,39,0,0
01.01.1970 00:20:00,158,"21,8","22,3",980,39,0,0
01.01.1970 00:20:10,158,"21,8","22,3",980,39,0,0
01.01.1970 00:20:20,158,"21,6","22,3",980,39,0,0
01.01.1970 00:20:30,158,"21,8","22,4",980,39,0,0
01.01.1970 00:20:40,158,"21,6","22,3",980,38,0,0
01.01.1970 00:20:50,158,"21,8","22,3",980,38,0,0
01.01.1970 00:21:00,158,"21,8","22,3",980,38,0,0
01.01.1970 00:21:10,158,"21,8","22,3",980,38,0,0
01.01.1970 00:21:20,158,"21,8","22,3",980,38,0,0
01.01.1970 00:21:30,158,"21,8","22,3",980,38,0,0
01.01.1970 00:21:40,158,"21,6","22,3",980,38,0,0
01.01.1970 00:21:50,158,"21,8","22,3",980,38,0,0
01.01.1970 00:22:00,158,"21,8","22,3",980,38,0,0
01.01.1970 00:22:10,158,"21,8","22,3",980,38,0,0
01.01.1970 00:22:20,158,"21,8","22,3",980,38,0,0
01.01.1970 00:22:30,158,"21,8","22,3",980,38,0,0
01.01.1970 00:22:40,158,"21,8","22,3",980,38,0,0
01.01.1970 00:22:50,158,"21,6","22,3",980,38,0,0
01.01.1970 00:23:00,158,"21,6","22,3",980,38,0,0
01.01.1970 00:23:10,158,"21,8","22,3",980,38,0,0
01.01.1970 00:23:20,158,"21,8","22,3",980,38,0,0
01.01.1970 00:23:30,158,"21,6","22,3",980,38,0,0
01.01.1970 00:23:40,158,"21,6","22,3",980,38,0,0
01.01.1970 00:23:50,158,"21,8","22,3",980,38,0,0
01.01.1970 00:24:00,158,"21,8","22,3",980,38,0,0
01.01.1970 00:24:10,158,"21,6","22,3",980,38,0,0
01.01.1970 00:24:20,158,"21,8","22,3",980,38,0,0
01.01.1970 00:24:30,158,"21,8","22,3",980,38,0,0
01.01.1970 00:24:40,158,"21,6","22,3",980,38,0,0
01.01.1970 00:24:50,158,"21,6","22,3",980,38,0,0
01.01.1970 00:25:00,158,"21,8","22,3",980,38,0,0
01.01.1970 00:25:10,158,"21,6","22,3",980,38,0,0
01.01.1970 00:25:20,158,"21,6","22,3",980,38,0,0
01.01.1970 00:25:30,158,"21,6","22,3",980,38,0,0
01.01.1970 00:25:40,158,"21,6","22,3",980,38,0,0
01.01.1970 00:25:50,158,"21,6","22,3",980,38,0,0
01.01.1970 00:26:00,158,"21,6","22,3",980,38,0,0
01.01.1970 00:26:10,158,"21,6","22,3",980,38,0,0
01.01.1970 00:26:20,158,"21,6","22,3",980,38,0,0
01.01.1970 00:26:30,158,"21,6","22,3",980,38,0,0
01.01.1970 00:26:40,158,"21,6","22,3",980,38,0,0
01.01.1970 00:26:50,158,"21,6","22,3",980,38,0,0
01.01.1970 00:27:00,158,"21,6","22,3",980,38,0,0
01.01.1970 00:27:10,158,"21,6","22,3",980,38,0,0
01.01.1970 00:27:20,158,"21,6","22,3",980,38,0,0
01.01.1970 00:27:30,158,"21,6","22,3",980,38,0,0
01.01.1970 00:27:40,158,"21,6","22,3",980,38,0,0
01.01.1970 00:27:50,158,"21,8","22,3",980,38,0,0
01.01.1970 00:28:00,158,"21,6","22,3",980,38,0,0
01.01.1970 00:28:10,158,"21,6","22,3",980,38,0,0
01.01.1970 00:28:20,158,"21,6","22,3",980,38,0,0
01.01.1970 00:28:30,158,"21,6","22,3",980,38,0,0
01.01.1970 00:28:40,158,"21,6","22,3",980,38,0,0
01.01.1970 00:28:50,158,"21,8","22,3",980,38,0,0
01.01.1970 00:29:00,158,"21,6","22,3",980,38,0,0
01.01.1970 00:29:10,158,"21,6","22,3",980,38,0,0
01.01.1970 00:29:20,158,"21,6","22,3",980,38,0,0
01.01.1970 00:29:30,158,"21,6","22,3",980,38,0,0
01.01.1970 00:29:40,158,"21,8","22,3",980,38,0,0
01.01.1970 00:29:50,158,"21,6","22,3",980,38,0,0
01.01.1970 00:30:00,158,"21,6","22,3",980,38,0,0
01.01.1970 00:30:10,158,"21,6","22,3",980,38,0,0
01.01.1970 00:30:20,158,"21,6","22,3",980,38,0,0
01.01.1970 00:30:30,158,"21,6","22,3",980,38,0,0
01.01.1970 00:30:40,158,"21,6","22,3",980,38,0,0
01.01.1970 00:30:50,158,"21,6","22,3",980,38,0,0
01.01.1970 00:31:00,158,"21,8","22,3",980,38,0,0
