UTC,Light,°C out,°C in,hPa,RH Air,RH Soil,IAQ
01.01.1970 00:00:21,1532,23.8,25.3,976,0,235,0
01.01.1970 00:00:21,1532,23.8,25.6,977,0,234,0
01.01.1970 00:00:22,1530,24.0,25.8,977,0,233,0
01.01.1970 00:00:22,1526,24.0,25.9,977,0,236,0
01.01.1970 00:00:22,1522,24.0,26.0,977,0,240,0
01.01.1970 00:00:22,1518,24.0,25.8,977,0,243,0
01.01.1970 00:00:22,1513,23.8,26.0,977,0,249,0
01.01.1970 00:00:23,1511,23.8,26.0,976,0,255,0
01.01.1970 00:00:23,1511,23.8,25.8,977,0,2,0
01.01.1970 00:00:23,1511,23.8,25.9,978,0,4,0
